"disciplinary_id","registration_number","doctor_name","state_medical_council","action_type","status","suspended_date","restored_date","source_type","source_reference","remarks"
"DISC-0001","SYN-KA-MED-003158","Nisha Kulkarni","Karnataka Medical Council","SUSPENSION","ACTIVE","2000-11-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0002","SYN-KER-MED-003244","Shekhar Paul","Kerala Medical Council","SUSPENSION","ACTIVE","2016-07-30","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0003","SYN-TG-MED-001092","Suresh Prasad","Telangana State Medical Council","SUSPENSION","ACTIVE","2005-03-03","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0004","SYN-TN-MED-003209","Priya Ramaswamy","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2000-01-03","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0005","SYN-HR-MED-000258","Gopal Dey","Haryana Medical Council","BLACKLIST","BLACKLISTED","2019-11-04","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0006","SYN-KER-MED-004159","Kiran Pillai","Kerala Medical Council","RESTORATION","RESTORED","2002-03-02","2002-08-26","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0007","SYN-AP-MED-002765","Kiran Singh","Andhra Pradesh Medical Council","SUSPENSION","ACTIVE","2009-10-24","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0008","SYN-KA-MED-002703","Nikhil Gowda","Karnataka Medical Council","SUSPENSION","ACTIVE","2003-07-30","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0009","SYN-PB-MED-004501","Arjun Dey","Punjab Medical Council","SUSPENSION","ACTIVE","2016-09-02","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0010","SYN-OD-MED-004144","Rajini Mishra","Odisha Medical Council","SUSPENSION","ACTIVE","2001-04-18","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0011","SYN-TN-MED-001631","Anupama Devarajan","Tamil Nadu Medical Council","SUSPENSION","ACTIVE","2001-07-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0012","SYN-PY-MED-003876","Rajani Gupta","Puducherry Medical Council","SUSPENSION","ACTIVE","2019-01-29","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0013","SYN-AP-MED-000972","Manasa Singh","Andhra Pradesh Medical Council","SUSPENSION","ACTIVE","2007-04-08","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0014","SYN-UP-MED-000376","Krishna Das","Uttar Pradesh Medical Council","SUSPENSION","ACTIVE","2020-03-01","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0015","SYN-KER-MED-001698","Sunil Joseph","Kerala Medical Council","SUSPENSION","ACTIVE","2007-08-23","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0016","SYN-MH-MED-002708","Sunil Kulkarni","Maharashtra Medical Council","SUSPENSION","ACTIVE","2021-04-05","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0017","SYN-DL-MED-002692","Srikanth Kapoor","Delhi Medical Council","BLACKLIST","BLACKLISTED","2013-06-23","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0018","SYN-TG-MED-004591","Yashodha Gupta","Telangana State Medical Council","SUSPENSION","ACTIVE","2003-04-09","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0019","SYN-WB-MED-002227","Santosh Sharma","West Bengal Medical Council","RESTORATION","RESTORED","2007-03-13","2008-10-15","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
"DISC-0020","SYN-TG-MED-002932","Balaji Mehta","Telangana State Medical Council","SUSPENSION","ACTIVE","2006-10-22","","SYNTHETIC_TEST_REFERENCE","NMC_BLACKLIST_STRUCTURE_REFERENCE","Synthetic test record; not a real disciplinary record."
