"reference_id","registration_number","doctor_name","normalized_name","state_medical_council","registration_year","registration_date","qualification","specialization","registration_status","source_type","source_reference","source_year"
"REF-KA-000001","SYN-KA-MED-000001","Jayan Naik","JAYAN NAIK","Karnataka Medical Council","2022","2022-05-01","MBBS, MD","Diabetology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000002","SYN-MH-MED-000002","Arvind Kulkarni","ARVIND KULKARNI","Maharashtra Medical Council","2005","2005-10-02","MBBS, MD, DM","Urology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TR-000003","SYN-TR-MED-000003","Mamta Gupta","MAMTA GUPTA","Tripura Medical Council","2016","2016-10-18","MBBS, MD","Diabetology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000004","SYN-KA-MED-000004","Pavan Naik","PAVAN NAIK","Karnataka Medical Council","2018","2018-02-26","MBBS, MS","Gastroenterology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-GA-000005","SYN-GA-MED-000005","Sunil Kumar","SUNIL KUMAR","Goa Medical Council","2007","2007-04-07","MBBS, DNB","ENT","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000006","SYN-TN-MED-000006","Nishant Raja","NISHANT RAJA","Tamil Nadu Medical Council","2015","2015-09-27","MBBS, MD, DM","Urology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000007","SYN-TN-MED-000007","Manasa Natarajan","MANASA NATARAJAN","Tamil Nadu Medical Council","2013","2013-04-21","MBBS, DNB","Emergency Medicine","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000008","SYN-KER-MED-000008","Arvind Suresh","ARVIND SURESH","Kerala Medical Council","2009","2009-02-13","MBBS, MD","Psychiatry","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000009","SYN-KER-MED-000009","Anupama George","ANUPAMA GEORGE","Kerala Medical Council","2017","2017-09-15","MBBS, MS","Psychiatry","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-TN-000010","SYN-TN-MED-000010","Naresh Subramanian","NARESH SUBRAMANIAN","Tamil Nadu Medical Council","2017","2017-02-04","MBBS, MD","Radiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-UP-000011","SYN-UP-MED-000011","Lakshmi Kumar","LAKSHMI KUMAR","Uttar Pradesh Medical Council","1998","1998-11-21","MBBS, MD, DM","Rheumatology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000012","SYN-KA-MED-000012","Hari Hegde","HARI HEGDE","Karnataka Medical Council","2019","2019-12-24","MBBS, MD, DM","Urology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000013","SYN-KA-MED-000013","Dinesh Murthy","DINESH MURTHY","Karnataka Medical Council","1994","1994-01-15","MBBS, DNB","General Surgery","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000014","SYN-MH-MED-000014","Ashok Kulkarni","ASHOK KULKARNI","Maharashtra Medical Council","2001","2001-09-03","MBBS, MS","Obstetrics and Gynecology","INACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-RJ-000015","SYN-RJ-MED-000015","Suresh Chandra","SURESH CHANDRA","Rajasthan Medical Council","2013","2013-11-13","MBBS, MS","General Medicine","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-RJ-000016","SYN-RJ-MED-000016","Jagadish Varma","JAGADISH VARMA","Rajasthan Medical Council","1985","1985-11-24","MBBS, DNB","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KA-000017","SYN-KA-MED-000017","Sonal Reddy","SONAL REDDY","Karnataka Medical Council","2007","2007-09-04","MBBS, MD","Rheumatology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-AP-000018","SYN-AP-MED-000018","Girish Gupta","GIRISH GUPTA","Andhra Pradesh Medical Council","2013","2013-07-13","MBBS, MD, DM","General Medicine","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000019","SYN-MH-MED-000019","Asha Joshi","ASHA JOSHI","Maharashtra Medical Council","1993","1993-12-13","MBBS, MD, DM","Radiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-CG-000020","SYN-CG-MED-000020","Lavanya Sharma","LAVANYA SHARMA","Chhattisgarh Medical Council","2004","2004-11-26","MBBS, MS, MCh","Urology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-MH-000021","SYN-MH-MED-000021","Aditya Pawar","ADITYA PAWAR","Maharashtra Medical Council","2020","2020-03-04","MBBS","Anesthesiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-ML-000022","SYN-ML-MED-000022","Asha Varma","ASHA VARMA","Meghalaya Medical Council","1990","1990-05-07","MBBS, DNB","Ophthalmology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-KER-000023","SYN-KER-MED-000023","Vasantha John","VASANTHA JOHN","Kerala Medical Council","1994","1994-03-06","MBBS, MD","Dermatology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-AP-000024","SYN-AP-MED-000024","Murali Nair","MURALI NAIR","Andhra Pradesh Medical Council","1988","1988-09-15","MBBS, DNB","Cardiology","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
"REF-OD-000025","SYN-OD-MED-000025","Deepak Jain","DEEPAK JAIN","Odisha Medical Council","1991","1991-04-24","MBBS, MS","ENT","ACTIVE","SYNTHETIC_REFERENCE","NMC_IMR_STRUCTURE_REFERENCE","2024"
